#lRMS=0.0001856670424 iRMS=2.672614937e-05 0
#    lk   ukf_o9v   uks_o9v        fh       fse        fd         fl
#
 3435.0  5.231898  0.000000  5.231898  0.000000  0.000000  0.000000
 3440.0  5.193906  0.000000  5.193906  0.000000  0.000000  0.000000
 3445.0  5.258392  0.000000  5.258392  0.000000  0.000000  0.000000
 3450.0  5.332714  0.000000  5.332714  0.000000  0.000000  0.000000
 3455.0  5.322072  0.000000  5.322072  0.000000  0.000000  0.000000
 3460.0  5.273076  0.000000  5.273076  0.000000  0.000000  0.000000
 3465.0  5.247588  0.000000  5.247588  0.000000  0.000000  0.000000
 3470.0  5.227077  0.000000  5.227077  0.000000  0.000000  0.000000
 3475.0  5.184284  0.000000  5.184284  0.000000  0.000000  0.000000
 3480.0  5.137433  0.000000  5.137433  0.000000  0.000000  0.000000
 3485.0  5.113780  0.000000  5.113780  0.000000  0.000000  0.000000
 3490.0  5.131240  0.000000  5.131240  0.000000  0.000000  0.000000
 3495.0  5.192427  0.000000  5.192427  0.000000  0.000000  0.000000
 3500.0  5.248097  0.000000  5.248097  0.000000  0.000000  0.000000
 3505.0  5.249017  0.000000  5.249017  0.000000  0.000000  0.000000
 3510.0  5.233984  0.041738  5.233984  0.000000  0.000000  0.000000
 3515.0  5.204985  0.100758  5.204985  0.000000  0.000000  0.000000
 3520.0  5.214263  0.175940  5.214263  0.000000  0.000000  0.000000
 3525.0  5.208269  0.162364  5.208269  0.000000  0.000000  0.000000
 3530.0  5.149981  0.082418  5.149981  0.000000  0.000000  0.000000
 3535.0  5.128026  0.103816  5.128026  0.000000  0.000000  0.000000
 3540.0  5.099576  0.135420  5.099576  0.000000  0.000000  0.000000
 3545.0  5.082090  0.146549  5.082090  0.000000  0.000000  0.000000
 3550.0  5.046709  0.124009  5.046709  0.000000  0.000000  0.000000
 3555.0  4.990070  0.098189  4.990070  0.000000  0.000000  0.000000
 3560.0  4.958850  0.143259  4.958850  0.000000  0.000000  0.000000
 3565.0  4.903082  0.200320  4.903082  0.000000  0.000000  0.000000
 3570.0  4.837192  0.213270  4.837192  0.000000  0.000000  0.000000
 3575.0  4.791422  0.156843  4.791422  0.000000  0.000000  0.000000
 3580.0  4.746284  0.070385  4.746284  0.000000  0.000000  0.000000
 3585.0  4.706326  0.030882  4.706326  0.000000  0.000000  0.000000
 3590.0  4.672889  0.029792  4.672889  0.000000  0.000000  0.000000
 3595.0  4.675636  0.077782  4.675636  0.000000  0.000000  0.000000
 3600.0  4.654701  0.111300  4.654701  0.000000  0.000000  0.000000
 3605.0  4.602899  0.128432  4.602899  0.000000  0.000000  0.000000
 3610.0  4.722000  0.000000  4.722000  0.000000  0.000000  0.000000
 3615.0  4.731930  0.000000  4.731930  0.000000  0.000000  0.000000
 3620.0  4.721232  0.000000  4.721232  0.000000  0.000000  0.000000
 3625.0  4.660798  0.000000  4.660798  0.000000  0.000000  0.000000
 3630.0  4.594349  0.000000  4.594349  0.000000  0.000000  0.000000
 3635.0  4.563799  0.000000  4.563799  0.000000  0.000000  0.000000
 3640.0  4.582631  0.000000  4.582631  0.000000  0.000000  0.000000
 3645.0  4.663242  0.000000  4.663242  0.000000  0.000000  0.000000
 3650.0  4.689430  0.000000  4.689430  0.000000  0.000000  0.000000
 3655.0  4.670171  0.000000  4.670171  0.000000  0.000000  0.000000
 3660.0  4.652092  0.000000  4.652092  0.000000  0.000000  0.000000
 3665.0  4.568780  0.000000  4.568780  0.000000  0.000000  0.000000
 3670.0  4.571796  0.000000  4.571796  0.000000  0.000000  0.000000
 3675.0  4.571488  0.000000  4.571488  0.000000  0.000000  0.000000
 3680.0  4.525952  0.000000  4.525952  0.000000  0.000000  0.000000
 3685.0  4.515226  0.000000  4.515226  0.000000  0.000000  0.000000
 3690.0  4.476038  0.000000  4.476038  0.000000  0.000000  0.000000
 3695.0  4.438798  0.000000  4.438798  0.000000  0.000000  0.000000
 3700.0  4.379843  0.000000  4.379843  0.000000  0.000000  0.000000
 3705.0  4.250410  0.000000  4.250410  0.000000  0.000000  0.000000
 3710.0  4.252867  0.000000  4.252867  0.000000  0.000000  0.000000
 3715.0  4.279961  0.000000  4.279961  0.000000  0.000000  0.000000
 3720.0  4.244530  0.000000  4.244530  0.000000  0.000000  0.000000
 3725.0  4.256682  0.000000  4.256682  0.000000  0.000000  0.000000
 3730.0  4.236881  0.000000  4.236881  0.000000  0.000000  0.000000
 3735.0  4.177470  0.000000  4.177470  0.000000  0.000000  0.000000
 3740.0  4.328621  0.000000  4.328621  0.000000  0.000000  0.000000
 3745.0  4.234580  0.000000  4.234580  0.000000  0.000000  0.000000
 3750.0  3.971226  0.000000  3.971226  0.000000  0.000000  0.000000
 3755.0  3.975804  0.000000  3.975804  0.000000  0.000000  0.000000
 3760.0  4.094583  0.000000  4.094583  0.000000  0.000000  0.000000
 3765.0  4.066711  0.000000  4.066711  0.000000  0.000000  0.000000
 3770.0  3.847046  0.000000  3.847046  0.000000  0.000000  0.000000
 3775.0  4.069523  0.000000  4.069523  0.000000  0.000000  0.000000
 3780.0  4.367551  0.000000  4.367551  0.000000  0.000000  0.000000
 3785.0  4.464131  0.000000  4.464131  0.000000  0.000000  0.000000
 3790.0  4.308129  0.000000  4.308129  0.000000  0.000000  0.000000
 3795.0  3.924467  0.000000  3.924467  0.000000  0.000000  0.000000
 3800.0  3.910245  0.000000  3.910245  0.000000  0.000000  0.000000
 3805.0  4.289580  0.000000  4.289580  0.000000  0.000000  0.000000
 3810.0  4.485993  0.000000  4.485993  0.000000  0.000000  0.000000
 3815.0  4.402803  0.000000  4.402803  0.000000  0.000000  0.000000
 3820.0  4.297223  0.000000  4.297223  0.000000  0.000000  0.000000
 3825.0  4.337879  0.000000  4.337879  0.000000  0.000000  0.000000
 3830.0  4.030602  0.000000  4.030602  0.000000  0.000000  0.000000
 3835.0  3.690389  0.000000  3.690389  0.000000  0.000000  0.000000
 3840.0  3.998755  0.000000  3.998755  0.000000  0.000000  0.000000
 3845.0  4.262897  0.000000  4.262897  0.000000  0.000000  0.000000
 3850.0  4.297220  0.000000  4.297220  0.000000  0.000000  0.000000
 3855.0  4.294210  0.000000  4.294210  0.000000  0.000000  0.000000
 3860.0  4.249512  0.000000  4.249512  0.000000  0.000000  0.000000
 3865.0  4.215694  0.000000  4.215694  0.000000  0.000000  0.000000
 3870.0  4.180891  0.000000  4.180891  0.000000  0.000000  0.000000
 3875.0  4.114959  0.000000  4.114959  0.000000  0.000000  0.000000
 3880.0  3.930176  0.000000  3.930176  0.000000  0.000000  0.000000
 3885.0  3.529706  0.000000  3.529706  0.000000  0.000000  0.000000
 3890.0  3.391948  0.000000  3.391948  0.000000  0.000000  0.000000
 3895.0  3.820857  0.000000  3.820857  0.000000  0.000000  0.000000
 3900.0  4.052138  0.000000  4.052138  0.000000  0.000000  0.000000
 3905.0  4.082934  0.000000  4.082934  0.000000  0.000000  0.000000
 3910.0  4.024302  0.000000  4.024302  0.000000  0.000000  0.000000
 3915.0  3.970863  0.000000  3.970863  0.000000  0.000000  0.000000
 3920.0  3.894236  0.000000  3.894236  0.000000  0.000000  0.000000
 3925.0  3.868313  0.000000  3.868313  0.000000  0.000000  0.000000
 3930.0  3.804325  0.000000  3.804325  0.000000  0.000000  0.000000
 3935.0  3.800340  0.000000  3.800340  0.000000  0.000000  0.000000
 3940.0  3.912069  0.000000  3.912069  0.000000  0.000000  0.000000
 3945.0  3.940056  0.000000  3.940056  0.000000  0.000000  0.000000
 3950.0  3.879068  0.000000  3.879068  0.000000  0.000000  0.000000
 3955.0  3.796173  0.000000  3.796173  0.000000  0.000000  0.000000
 3960.0  3.619074  0.000000  3.619074  0.000000  0.000000  0.000000
 3965.0  3.205872  0.000000  3.205872  0.000000  0.000000  0.000000
 3970.0  2.939538  0.000000  2.939538  0.000000  0.000000  0.000000
