	nm	  W/sm/nm   W/sm
     4805     2.037  2.574E+2
     4815     2.092  2.595E+2
     4825     2.025  2.615E+2
     4835     2.021  2.636E+2
     4845     1.971  2.655E+2
     4855     1.832  2.674E+2
     4865     1.627  2.690E+2
     4875     1.832  2.708E+2
     4885     1.916  2.727E+2
     4895     1.962  2.747E+2
     4905     2.009  2.767E+2
     4915     1.898  2.786E+2
     4925     1.898  2.805E+2
     4935     1.890  2.824E+2
     4945     2.060  2.845E+2
     4955     1.928  2.864E+2
     4965     2.019  2.884E+2
     4975     2.020  2.904E+2
     4985     1.868  2.923E+2
     4995     1.972  2.943E+2
     5005     1.859  2.961E+2
     5015     1.814  2.979E+2
     5025     1.896  2.998E+2
     5035     1.936  3.018E+2
     5045     1.871  3.036E+2
     5055     1.995  3.056E+2
     5065     1.963  3.076E+2
     5075     1.908  3.095E+2
     5085     1.921  3.114E+2
     5095     1.918  3.134E+2
     5105     1.949  3.153E+2
     5115     1.999  3.173E+2
     5125     1.869  3.192E+2
     5135     1.863  3.210E+2
     5145     1.876  3.229E+2
     5155     1.902  3.248E+2
     5165     1.671  3.265E+2
     5175     1.728  3.282E+2
     5185     1.656  3.299E+2
     5195     1.830  3.317E+2
     5205     1.833  3.335E+2
     5215     1.908  3.354E+2
     5225     1.825  3.373E+2
     5235     1.896  3.392E+2
     5245     1.960  3.411E+2
     5255     1.932  3.431E+2
     5265     1.676  3.447E+2
     5275     1.830  3.466E+2
     5285     1.899  3.485E+2
     5295     1.920  3.504E+2
     5305     1.954  3.523E+2
     5315     1.965  3.543E+2
     5325     1.773  3.561E+2
     5335     1.925  3.580E+2
     5345     1.860  3.599E+2
     5355     1.992  3.619E+2
     5365     1.873  3.637E+2
     5375     1.884  3.656E+2
     5385     1.906  3.675E+2
     5395     1.834  3.694E+2
     5405     1.772  3.711E+2
     5415     1.883  3.730E+2
     5425     1.827  3.748E+2
     5435     1.881  3.767E+2
     5445     1.881  3.786E+2
     5455     1.903  3.805E+2
     5465     1.881  3.824E+2 
     5475     1.835  3.842E+2
     5485     1.865  3.861E+2
     5495     1.897  3.880E+2
     5505     1.864  3.898E+2
     5515     1.873  3.917E+2
     5525     1.848  3.936E+2
     5535     1.884  3.954E+2
     5545     1.900  3.973E+2
     5555     1.899  3.992E+2
     5565     1.823  4.011E+2
     5575     1.848  4.029E+2
     5585     1.789  4.047E+2
     5595     1.810  4.065E+2
     5605     1.845  4.084E+2
     5615     1.826  4.102E+2
     5625     1.852  4.120E+2
     5635     1.863  4.139E+2
     5645     1.856  4.158E+2
     5655     1.800  4.176E+2
     5665     1.831  4.194E+2
     5675     1.889  4.213E+2
     5685     1.812  4.231E+2
     5695     1.862  4.250E+2
     5705     1.772  4.267E+2
     5715     1.825  4.286E+2
     5725     1.894  4.305E+2
     5735     1.878  4.323E+2
     5745     1.869  4.342E+2
     5755     1.832  4.360E+2
     5765     1.848  4.379E+2
     5775     1.859  4.397E+2
     5785     1.786  4.415E+2
     5795     1.830  4.434E+2
     5805     1.840  4.452E+2
     5815     1.855  4.471E+2
     5825     1.875  4.489E+2
     5835     1.859  4.508E+2
     5845     1.862  4.526E+2
     5855     1.786  4.544E+2
     5865     1.832  4.563E+2
     5875     1.850  4.581E+2
     5885     1.752  4.599E+2
     5895     1.614  4.615E+2
     5905     1.815  4.633E+2
     5915     1.789  4.651E+2
     5925     1.810  4.669E+2
     5935     1.798  4.687E+2
     5945     1.776  4.705E+2
     5955     1.785  4.723E+2
     5965     1.807  4.741E+2
     5975     1.783  4.758E+2
     5985     1.760  4.776E+2
     5995     1.777  4.794E+2
     6005     1.748  4.811E+2
     6015     1.753  4.829E+2
     6025     1.721  4.846E+2
     6035     1.789  4.864E+2
     6045     1.779  4.882E+2
     6055     1.766  4.899E+2
     6065     1.762  4.917E+2
     6075     1.760  4.935E+2
     6085     1.745  4.952E+2
     6095     1.746  4.969E+2
     6105     1.705  4.987E+2
     6115     1.748  5.004E+2
     6125     1.707  5.021E+2
     6135     1.685  5.038E+2
     6145     1.715  5.055E+2
     6155     1.715  5.072E+2
     6165     1.611  5.088E+2
     6175     1.709  5.105E+2
     6185     1.726  5.123E+2
     6195     1.709  5.140E+2
     6205     1.736  5.157E+2
     6215     1.692  5.174E+2
     6225     1.715  5.191E+2
     6235     1.668  5.208E+2
     6245     1.658  5.224E+2
     6255     1.634  5.241E+2
     6265     1.699  5.258E+2
     6275     1.699  5.275E+2
     6285     1.699  5.292E+2
     6295     1.679  5.317E+2
     6310     1.641  5.350E+2
     6330     1.653  5.383E+2
     6350     1.658  5.416E+2
     6370     1.656  5.449E+2
     6390     1.653  5.482E+2
     6410     1.616  5.514E+2
     6430     1.623  5.547E+2
     6450     1.629  5.579E+2
     6470     1.605  5.612E+2
     6490     1.560  5.643E+2
     6510     1.608  5.675E+2
     6530     1.601  5.707E+2
     6550     1.534  5.738E+2 
     6570     1.386  5.765E+2
     6590     1.551  5.796E+2
     6610     1.573  5.828E+2
     6630     1.557  5.859E+2
     6650     1.562  5.890E+2
     6670     1.537  5.921E+2
     6690     1.548  5.952E+2
     6710     1.518  5.982E+2
     6730     1.523  6.013E+2
     6750     1.512  6.043E+2
     6770     1.510  6.073E+2
     6790     1.500  6.103E+2
     6810     1.494  6.133E+2
     6830     1.481  6.163E+2
     6850     1.457  6.192E+2
     6870     1.469  6.221E+2
     6890     1.463  6.250E+2
     6910     1.450  6.279E+2
     6930     1.450  6.308E+2
     6950     1.438  6.337E+2
     6970     1.418  6.365E+2
     6990     1.427  6.394E+2
     7010     1.388  6.422E+2
     7030     1.390  6.450E+2
     7050     1.417  6.478E+2
     7070     1.402  6.506E+2
     7090     1.386  6.534E+2
     7110     1.387  6.561E+2
     7130     1.375  6.589E+2
     7150     1.368  6.616E+2
     7170     1.355  6.643E+2
     7190     1.329  6.670E+2
     7210     1.332  6.697E+2
     7230     1.349  6.724E+2
     7250     1.351  6.751E+2
     7270     1.347  6.778E+2
     7290     1.320  6.804E+2
     7310     1.327  6.830E+2
     7330     1.319  6.857E+2
     7350     1.310  6.883E+2
     7370     1.308  6.909E+2
     7390     1.279  6.935E+2
     7410     1.259  6.960E+2
     7430     1.287  6.986E+2
     7450     1.280  7.011E+2
     7470     1.284  7.037E+2
     7490     1.271  7.062E+2
     7510     1.263  7.088E+2
     7530     1.260  7.113E+2
     7550     1.256  7.138E+2
     7570     1.249  7.163E+2
     7590     1.241  7.188E+2
     7610     1.238  7.213E+2
     7630     1.242  7.237E+2
     7650     1.222  7.262E+2
     7670     1.186  7.286E+2
     7690     1.204  7.310E+2
     7710     1.205  7.334E+2
     7730     1.209  7.358E+2
     7750     1.189  7.382E+2
     7770     1.197  7.406E+2
     7790     1.188  7.430E+2
     7810     1.188  7.453E+2
     7830     1.177  7.477E+2
     7850     1.181  7.500E+2
     7870     1.178  7.524E+2
     7890     1.175  7.548E+2
     7910     1.159  7.571E+2
     7930     1.144  7.594E+2
     7950     1.135  7.616E+2
     7970     1.153  7.639E+2
     7990     1.136  7.662E+2
     8010     1.143  7.685E+2
     8030     1.130  7.708E+2
     8050     1.116  7.730E+2
     8070     1.121  7.752E+2
     8090     1.096  7.774E+2
     8110     1.115  7.797E+2
     8130     1.116  7.819E+2
     8150     1.108  7.841E+2
     8170     1.105  7.863E+2
     8190     1.065  7.884E+2
     8210     1.081  7.906E+2
     8230     1.074  7.928E+2
     8250     1.076  7.949E+2
     8270     1.077  7.971E+2
     8290     1.073  7.992E+2
     8310     1.069  8.014E+2
     8330     1.034  8.034E+2
     8350     1.053  8.055E+2
     8370     1.052  8.076E+2
     8390     1.042  8.097E+2
     8410     1.045  8.118E+2
     8430     1.028  8.139E+2 
     8450     1.033  8.159E+2
     8470     1.025  8.180E+2
     8490     0.971  8.199E+2
     8510     1.003  8.219E+2
     8530     0.973  8.239E+2
     8550     0.877  8.256E+2
     8570     1.011  8.276E+2
     8590     0.997  8.296E+2
     8610     0.997  8.316E+2
     8630     0.999  8.336E+2
     8650     0.970  8.356E+2
     8670     0.880  8.373E+2
     8690     0.967  8.393E+2
     8710     0.986  8.412E+2
     8730     0.978  8.432E+2
     8750     0.981  8.451E+2
     8770     0.984  8.471E+2
     8790     0.959  8.490E+2
     8810     0.960  8.509E+2
     8830     0.948  8.528E+2
     8850     0.963  8.548E+2
     8870     0.947  8.567E+2
     8890     0.949  8.586E+2
     8910     0.944  8.605E+2
     8930     0.934  8.623E+2 
     8950     0.936  8.642E+2
     8970     0.939  8.661E+2
     8990     0.912  8.679E+2
     9010     0.905  8.697E+2
     9030     0.905  8.715E+2
     9050     0.893  8.733E+2
     9070     0.891  8.751E+2
     9090     0.861  8.768E+2
     9110     0.870  8.785E+2
     9130     0.876  8.803E+2
     9150     0.866  8.820E+2
     9170     0.859  8.837E+2
     9190     0.858  8.855E+2
     9210     0.830  8.871E+2
     9230     0.821  8.888E+2
     9250     0.825  8.904E+2
     9270     0.828  8.921E+2
     9290     0.833  8.937E+2
     9310     0.826  8.954E+2
     9330     0.832  8.971E+2
     9350     0.818  8.987E+2
     9370     0.802  9.003E+2
     9390     0.808  9.019E+2
     9410     0.800  9.035E+2
     9430     0.784  9.051E+2
     9450     0.799  9.067E+2
     9470     0.793  9.083E+2
     9490     0.777  9.098E+2
     9510     0.778  9.114E+2
     9530     0.771  9.129E+2
     9550     0.760  9.144E+2
     9570     0.774  9.160E+2
     9590     0.771  9.175E+2
     9610     0.767  9.191E+2
     9630     0.767  9.206E+2
     9650     0.764  9.221E+2
     9670     0.757  9.236E+2
     9690     0.776  9.252E+2
     9710     0.763  9.267E+2
     9730     0.764  9.282E+2
     9750     0.750  9.297E+2
     9770     0.768  9.313E+2
     9790     0.768  9.328E+2
     9810     0.762  9.343E+2
     9830     0.766  9.359E+2
     9850     0.771  9.374E+2
     9870     0.756  9.389E+2
     9890     0.767  9.405E+2
     9910     0.764  9.420E+2
     9930     0.755  9.435E+2
     9950     0.756  9.450E+2
     9970     0.743  9.465E+2
     9990     0.743  9.491E+2
    10025     0.745  9.528E+2
    10075     0.737  9.565E+2
    10125     0.734  9.602E+2
    10175     0.721  9.638E+2
    10225     0.704  9.673E+2
